Symbol,Description
VIH,"VPC Impact Acquisition Holdings is a blank check company. The company intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses or entities. The company was incorporated in 2020 and is based headquartered in Chicago, Illinois."
VINO,"Gaucho Group Holdings, Inc., through its subsidiaries, invests in, develops, and operates real estate projects in Argentina. The company also owns and operates Algodon Mansion, a luxury boutique hotel in Buenos Aires; and Algodon Wine Estates, a winery and golf resort with tennis courts, dining, and hotel amenities in Mendoza, as well as subdivides property for residential development. In addition, it distributes and sells high-end luxury fashion products and accessories through an e-commerce platform. The company was formerly known as Algodon Group, Inc. and changed its name to Gaucho Group Holdings, Inc. in March 2019. Gaucho Group Holdings, Inc. was incorporated in 1999 and is based in Miami Beach, Florida."
VIR,"Vir Biotechnology, Inc., a clinical-stage immunology company, develops therapeutic products to treat and prevent serious infectious diseases. It develops VIR-2218 and VIR-3434 for the treatment of hepatitis B virus; VIR-2482 for the prevention of influenza A virus; VIR-1111 for the prevention of human immunodeficiency virus; and VIR-2020 for the prevention of tuberculosis. The company has grant agreements with Bill & Melinda Gates Foundation and National Institutes of Health; an option and license agreement with Brii Biosciences Limited and Brii Biosciences Offshore Limited; a collaboration and license agreement with Alnylam Pharmaceuticals, Inc.; a collaboration, license, and option agreement with Visterra, Inc.; license agreements with The Rockefeller University and MedImmune, Inc.; collaboration with WuXi Biologics and Glaxo Wellcome UK Ltd.; and a collaborative research agreement with Generation Bio., as well as GlaxoSmithKline Intellectual Property Development Limited, GlaxoSmithKline Biologicals SA., and Alnylam Pharmaceuticals, Inc. It also has a manufacturing agreement with Samsung Biologics Co.,Ltd. for the manufacture of SARS-COV-2 antibodies for potential COVID-19 treatment; and clinical collaboration with Gilead Sciences, Inc. for chronic hepatitis B virus. Vir Biotechnology, Inc. was founded in 2016 and is headquartered in San Francisco, California."
VIRC,"Virco Mfg. Corporation engages in the design, production, and distribution of furniture for the commercial and education markets in the United States. It offers seating products, including 4-leg chairs, cantilever chairs, tablet arm chairs with work surfaces and compact footprints, steel-frame rockers, stools, series chairs, stack and folding chairs, hard plastic seating, upholstered stack and ergonomic chairs, and plastic stack chairs. The company also provides folding, activity, office, computer, and mobile tables; and computer furniture, such as keyboard mouse trays, CPU holders, support columns, desks and workstations, specialty tables, instructor media stations and towers, and other products. In addition, it offers chair desks, combo units, and tablet arm and caster units, as well as a returns and credenzas. Additionally, the company provides administrative office furniture, including desks, returns, bookcases, storage cabinets, and other items, as well as wardrobe tower cabinets, file credenzas, and mobile pedestals; laboratory furniture comprising steel-based science tables, table bases, lab stools, and wood-frame science tables; mobile furniture, including mobile tables for cafeterias, mobile cabinets, and mobile chairs for school settings and offices; and handling and storage equipment, as well as manufactures stackable storage trucks. It serves educational institutions, convention centers and arenas, hospitality providers, government facilities, and places of worship through its sales and support teams, and dealer network. Virco Mfg. Corporation was founded in 1950 and is headquartered in Torrance, California."
VIRI,"Virios Therapeutics, Inc., a development-stage biotechnology company, focuses on developing antiviral therapies to treat diseases associated with a viral triggered abnormal immune response. Its lead development candidate is the IMC-1, a fixed dose combination of famciclovir and celecoxib to treat fibromyalgia. The company was formerly known as Virios Therapeutics, LLC and changed its name to Virios Therapeutics, Inc. in December 2020. Virios Therapeutics, Inc. was incorporated in 2012 and is headquartered in Alpharetta, Georgia."
VIRT,"Virtu Financial, Inc., financial services company, provides execution services and data, analytics, and connectivity products to clients worldwide. Its product suite includes offerings in execution, liquidity sourcing, analytics and broker-neutral, and multi-dealer platforms in workflow technology. The company's solutions enable clients to trade on various venues across countries and in multiple asset classes, including global equities, ETFs, foreign exchange, futures, fixed income, and other commodities. Its analytics platform provides a range of pre- and post-trade services, data products, and compliance for clients to invest, trade, and manage risk across markets. Virtu Financial, Inc. was founded in 2008 and is headquartered in New York, New York."
VIRX,"Viracta Therapeutics, Inc., a precision oncology company, engages in developing drugs for the treatment of virus-associated malignancies. It is developing nanatinostat, an oral combination therapy in combination with the antiviral agent valganciclovir that is in Phase II clinical trial for Epstein-Barr virus-positive lymphoma. The company was founded in 2007 and is headquartered in Cardiff-by-the-Sea, California."
VISL,"Vislink Technologies, Inc. engages in designs, develops, and delivers wireless communications solutions in North and South America, Europe, Asia, and internationally. It offers live production products and solutions, such as high-definition communication links that reliably capture, transmit, and manage live event footage; a range of high-margin wireless camera transmitter and receiver products; HCAM, a 4K Ultra HD-capable on-camera wireless system; MicroLite 3, a compact wireless HD transmitter; IMTDragonFly, an ultra-compact HD solution; Quantum, an ultra-low latency and waveform agnostic central receiver; and ultra-compact onboard solutions. The company also offers miniature transmitters and handheld receivers, such as HHT3 and Mobile Commander for tactical surveillance; airborne video downlink system, a comprehensive aerial-based video transmission solution that delivers real-time surveillance to enhance law enforcement, emergency, and critical infrastructure operations; and MSAT, a portable tri-band satellite antenna system, as well as DVE5100 encoder and IRD6200 decoder electronics units. It serves live production, military and government, and satellite communications sectors. The company was formerly known as xG Technology, Inc. and changed its name to Vislink Technologies, Inc. in February 2019. Vislink Technologies, Inc. was incorporated in 2002 and is headquartered in Hackettstown, New Jersey."
VITL,"Vital Farms, Inc., an ethical food company, provides pasture-raised products in the United States. It offers shell eggs, butter, hard-boiled eggs, ghee, liquid whole eggs, and egg bite products. The company was founded in 2007 and is headquartered in Austin, Texas."
VIVE,"Viveve Medical, Inc., together with its subsidiaries, designs, develops, manufactures, and markets medical devices for the non-invasive treatment of vaginal introital laxity, sexual function, vaginal rejuvenation, and stress urinary incontinence. The company offers Viveve System comprises of the radiofrequency generator, reusable handpiece, and treatment tip, as well as cryogen canister and other consumable components. It markets its products through sales employees and distributors in the United States, Canada, the Asia Pacific, Europe, the Middle East, Latin America, and internationally. The company was founded in 2005 and is headquartered in Englewood, Colorado."
VIVO,"Meridian Bioscience, Inc., a life science company, develops, manufactures, distributes, and sells diagnostic test kits primarily for gastrointestinal and respiratory infectious diseases, and elevated blood lead levels worldwide. The company operates through Diagnostics and Life Science segments. The Diagnostics segment offers testing platforms, including real-time PCR amplification under the Revogene brand; isothermal DNA amplification under the Alethia brand; lateral flow immunoassay using fluorescent chemistry under the Curian brand; rapid immunoassay under the ImmunoCard and ImmunoCard STAT! brands; enzyme-linked immunoassays under the PREMIER brand; anodic stripping voltammetry under the LeadCare and PediaStat brands; and urea breath testing for H. pylori under the BreathID brand. This segment also offers gastrointestinal assays, including tests for C. difficile, H. pylori, and certain foodborne pathogens; respiratory illness assays, such as tests Group A strep, mycoplasma pneumonia, influenza, and pertussis; and blood chemistry assays for testing elevated levels of lead in blood. It sells products through direct sales force and independent distributors to acute care hospitals, reference laboratories, outpatient clinics, and physician office laboratories. The Life Science segment offers bulk antigens, antibodies, PCR/qPCR reagents, nucleotides, and bioresearch reagents used by in vitro diagnostic manufacturers, as well as researchers in immunological and molecular tests for human, animal, plant, and environmental applications. The company has a strategic collaboration with DiaSorin Inc. to sell H. pylori tests. Meridian Bioscience, Inc. was incorporated in 1976 and is headquartered in Cincinnati, Ohio."
VKTX,"Viking Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on the development of novel therapies for metabolic and endocrine disorders. Its lead drug candidate is VK2809, an orally available tissue and receptor-subtype selective agonist of the thyroid hormone receptor beta (TRÃ), which is in Phase IIb clinical trials to treat patients with biopsy-confirmed non-alcoholic steatohepatitis, as well as NAFLD. The company also develops VK5211, an orally available non-steroidal selective androgen receptor modulator that is in Phase II clinical trials for the treatment of patients recovering from non-elective hip fracture surgery; VK0612, an orally available Phase IIb-ready drug candidate for type 2 diabetes; and VK0214, an orally available tissue and receptor-subtype selective agonist of the TRÃ for X-linked adrenoleukodystrophy. Viking Therapeutics, Inc. was incorporated in 2012 and is headquartered in San Diego, California."
VLDR,"Velodyne Lidar, Inc. provides real-time three-dimensional vision for autonomous systems worldwide. It offers a broad lineup of surround-view lidar to support numerous end applications, including autonomous vehicles, drones, security, and mapping; and solid state lidar technology that combine the high reliability and long lifetime of traditional micro electro-mechanical systems solutions. The company also provides Vella software solution to any vehicle that utilizes a Velarray lidar. Its lidar-based smart vision solutions are also used in non-automotive applications, such as autonomous mobile robots, unmanned aerial vehicles, last-mile delivery, precision agriculture, advanced security systems, and smart city initiatives. Velodyne Lidar, Inc. was founded in 1983 and is headquartered in San Jose, California."
VLO,"Valero Energy Corporation manufactures, markets, and sells transportation fuels and petrochemical products in the United States, Canada, the United Kingdom, Ireland, and internationally. It operates through three segments: Refining, Renewable Diesel, and Ethanol. The company is involved in oil and gas refining, marketing, and bulk selling activities. It produces conventional, premium, and reformulated gasolines; gasoline meeting the specifications of the California Air Resources Board (CARB); diesel fuels, low-sulfur and ultra-low-sulfur diesel fuels; CARB diesel; other distillates; jet fuels; blendstocks; lube oils and natural gas liquids; and asphalts, petrochemicals, lubricants, and other refined petroleum products. As of December 31, 2020, the company owned 15 petroleum refineries with a combined throughput capacity of approximately 3.2 million barrels per day. It sells its refined products through wholesale rack and bulk markets; and through approximately 7,000 outlets under the Valero, Beacon, Diamond Shamrock, Shamrock, Ultramar, and Texaco brands. The company also produces and sells ethanol, dry distiller grains, syrup, and inedible corn oil primarily to refiners and gasoline blenders, as well as to animal feed customers. It owns and operates 13 ethanol plants with a combined ethanol production capacity of approximately 1.69 billion gallons per year. In addition, the company owns and operates crude oil and refined petroleum products pipelines, terminals, tanks, marine docks, truck rack bays, and other logistics assets. Further, it owns and operates a plant that processes animal fats, used cooking oils, and other vegetable oils into renewable diesel. The company was formerly known as Valero Refining and Marketing Company and changed its name to Valero Energy Corporation in August 1997. Valero Energy Corporation was founded in 1980 and is headquartered in San Antonio, Texas."
VMC,"Vulcan Materials Company produces and supplies construction aggregate primarily in the United States. It operates through four segments: Aggregates, Asphalt, Concrete, and Calcium. The Aggregates segment provides crushed stones, sand and gravel, sand, and other aggregates; and related products and services that are applied in construction and maintenance of highways, streets, and other public works, as well as in the construction of housing and commercial, industrial, and other nonresidential facilities. The Asphalt Mix segment offers asphalt mix in Alabama, Arizona, California, New Mexico, Tennessee, and Texas, as well as engages in the asphalt construction paving activity in Alabama, Tennessee, and Texas. The Concrete segment provides ready-mixed concrete in Maryland, Texas and Virginia, and Washington D.C. The Calcium segment mines, produces, and sells calcium products for the animal feed, plastics, and water treatment industries. The company was formerly known as Virginia Holdco, Inc. and changed its name to Vulcan Materials Company. Vulcan Materials Company was founded in 1909 and is headquartered in Birmingham, Alabama."
VMEO,"Vimeo, Inc. owns and operates an online video platform for users to upload, share, and watch videos. The company's platform provides video player, collaboration, marketing, live streaming, analystics, hosting, and management solutions. It also provides Vimeo On Demand, an open self-distribution service that enables users to sell their works directly to their audiences and retain a share of the revenue after transaction costs; and Vimeo Create, a suite of tools for making social videos. In addition, the company offers professional video hosting solutions for small businesses. It provides solutions for creative professionals, small businesses, enterprises, education sector, fitness centers, and faith teams. The company was founded in 2004 and is based in New York, New York. Vimeo, Inc.(NasdaqGS:VMEO) operates independently of IAC/InterActiveCorp as of May 24, 2021."
VMI,"Valmont Industries, Inc. produces and sells fabricated metal products in the United States, Australia, Denmark, and internationally. The company operates through four segments: Engineered Support Structures, Utility Support Structures, Coatings, and Irrigation. The Engineered Support Structures segment manufactures and distributes engineered metal, steel, wood, aluminum, and composite poles, towers, and components for lighting, traffic, and wireless communication markets; engineered access systems; integrated structure solutions for smart cities; and highway safety products. The Utility Support Structures segment manufactures engineered steel and concrete pole structures for utility transmission, distribution, substations, and renewable energy generation equipment; and inspection services. The Coatings segment provides hot-dipped galvanizing, anodizing, powder coating, and e-coating services to preserve and protect metal products. The Irrigation segment manufactures and distributes mechanical irrigation equipment, and related parts and services under the Valley brand name for the agricultural industry; and tubular products for industrial customers. This segment also provides water management solutions and technology for precision agriculture. The company serves municipalities and government entities, commercial lighting fixtures manufacturing companies, contractors, telecommunications and utility companies, and large farms, as well as the general manufacturing sector. Valmont Industries, Inc. was founded in 1946 and is headquartered in Omaha, Nebraska."
VMW,"VMware, Inc. provides software in the areas of hybrid and multi-cloud, modern applications, networking, security, and digital workspaces in the United States and internationally. It offers VMware multi-cloud solutions, including VMware vSphere, a data center infrastructure that provides the fundamental compute layer and utilizes its hypervisor software, a layer of software that resides between the operating system and system hardware to enable compute virtualization; vSAN and VxRail, which offers holistic data storage and protection options to all applications running on vSphere; and vRealize Cloud Management solutions that manages hybrid and multi-cloud environments running in virtual machines and containers, as well as VMware Cloud Foundation, a hybrid cloud platform that combines its vSphere, vSAN, and NSX with vRealize Cloud Management into an integrated stack and delivers enterprise-ready cloud infrastructure for private and public clouds. The company also provides networking solutions, such as VMware NSX, VMware Service-defined Firewall, VMware SD-WAN, VMware SASE, VMware vRealize Network Insight, and VMware NSX Advanced Load Balancer; digital workspace solutions that comprise Workspace ONE Unified Endpoint Management, Access, and Horizon; and application modernization solutions, such as Tanzu Basic, standard, and advanced edition, Tanzu Application Service, and Tanzu Labs. In addition, it offers intrinsic security solutions consisting of VMware Carbon Black Cloud Endpoint and Workload. The company sells its products through distributors, resellers, system vendors, and systems integrators. VMware, Inc. has strategic alliances with Amazon Web Services to build and deliver an integrated hybrid solution. The company was incorporated in 1998 and is headquartered in Palo Alto, California. VMware, Inc. is a subsidiary of Dell Technologies Inc."
VNO,"Vornado's portfolio is concentrated in the nation's key market Â New York City Â along with the premier asset in both Chicago and San Francisco. Vornado is also the real estate industry leader in sustainability policy. The company owns and manages over 23 million square feet of LEED certified buildings and received the Energy Star Partner of the Year Award, Sustained Excellence 2019. In 2012, Vornado commemorated 50 years on the NYSE."
VNOM,"Viper Energy Partners LP owns, acquires, and exploits oil and natural gas properties in North America. As of December 31, 2020, it had mineral interests in 24,350 net royalty acres in the Permian Basin and Eagle Ford Shale; and estimated proved oil and natural gas reserves of 99,392 thousand barrels of crude oil equivalent. Viper Energy Partners GP LLC operates as the general partner of the company. The company was founded in 2013 and is based in Midland, Texas. Viper Energy Partners LP is a subsidiary of Diamondback Energy, Inc."
VOC,"VOC Energy Trust acquires and holds a term net profits interest of the net proceeds from production and sale of the interests in oil and natural gas properties in the states of Kansas and Texas. The company has an 80% term net profits interest of the net proceeds on the underlying properties. As of December 31, 2020, its underlying properties had interests in 470.3 net producing wells and 84,332 net acres; and had proved reserves of approximately 3.1 million barrels of oil equivalent (MMBoe) attributable to the portion of the Kansas underlying properties, and approximately 3.1 MMBoe attributable to the Texas underlying properties. VOC Energy Trust was incorporated in 2010 and is based in Houston, Texas."
VOLT,"Volt Information Sciences, Inc. provides traditional time, materials-based, and project-based staffing services in the United States, Europe, Canada, and the Asia Pacific. The company operates through North American Staffing, International Staffing, and North American MSP segments. It provides contingent staffing, direct placement, personnel recruitment, staffing management, and other employment services; and managed service programs consisting of managing the procurement, on-boarding of contingent workers, and specialized solutions, such as managing suppliers, sourcing and recruiting support, statement of work management, supplier performance measurement, optimization and analysis, benchmarking of spend demographics and market rate analysis, consolidated customer billing, and supplier payment management solutions. The company also offers call center and payroll services; recruitment process outsourcing; and customized talent and supplier management solutions, as well as act as a subcontractor or associate vendor to other national providers in their MSPs. It serves multinational, national, and local customers in various industries, including aerospace, automotive, banking and finance, consumer electronics, information technology, insurance, life science, manufacturing, media and entertainment, pharmaceutical, software, telecommunication, transportation, and utilities. The company was founded in 1950 and is headquartered in Orange, California."
VOR,"Vor Biopharma, Inc., early-stage cell therapy company, develops engineered hematopoietic stem cell (eHSC) therapies for cancer patients. It is developing VOR33, an eHSC product candidate that is in preclinical development to treat acute myeloid leukemia (AML) and other hematological malignancies. The company's VOR33 eHSCs lacks CD33, a protein that is expressed by AML cancer cells. Vor Biopharma, Inc. was incorporated in 2015 and is headquartered in Cambridge, Massachusetts."
VOSO,"Virtuoso Acquisition Corp., a blank check company, intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or related business combination with one or more businesses. The company was founded in 2020 and is based in Westport, Connecticut."
VOXX,"VOXX International Corporation, together with its subsidiaries, designs, manufactures, and distributes automotive electronics, consumer electronics, and biometric products in the United States, Europe, and internationally. Its Automotive Electronics segment offers mobile multi-media infotainment products; satellite radios; smart phone telematics applications; automotive security, vehicle access, and remote start systems; automotive power accessories; rear observation and collision avoidance systems; driver distraction products; power lift gates; mobile interface modules; turn signal switches; automotive lighting products; automotive sensing and camera systems; USB ports; cruise control systems; and heated seats. The company's Consumer Electronics segment provides speakers; home theater, business music, and streaming music systems; on-ear and in-ear headphones; wired and wireless headphones and ear buds; Bluetooth headphones and ear buds; soundbars; digital living network alliance compatible devices; high-definition television and wireless fidelity antennas; high-definition multimedia interface accessories; karaoke and infant/nursery products; home electronic accessories; other connectivity products; performance enhancing electronics; TV universal remotes; flat panel TV mounting systems; power supply systems and charging products; electronic equipment cleaning products; personal sound amplifiers; set-top boxes; and home and portable stereos. Its Biometrics segment offers iris identification and biometric security related products. The company was formerly known as Audiovox Corporation and changed its name to VOXX International Corporation in December 2011. VOXX International Corporation was founded in 1960 and is headquartered in Orlando, Florida."
VPG,"Vishay Precision Group, Inc. designs, manufactures, and markets sensors, sensor-based measurement systems, specialty resistors, and strain gages in the United States, Israel, the United Kingdom, rest of Europe, Asia, and Canada. It operates through three segments: Foil Technology Products, Force Sensors, and Weighing and Control Systems. The company's product portfolio includes foil resistors, foil strain gages, transducers, load cells, modules, data acquisition systems, and weighing and control systems, as well as sensors that convert mechanical inputs into an electronic signal for display, processing, interpretation, or control by its instrumentation and system products. Its products are primarily used in the military and aerospace, medical, agricultural, steel, and construction sectors for application in waste management, bulk hauling, logging, scales manufacturing, engineering systems, pharmaceutical, oil, chemical, paper, and food industries. The company offers its products under the Vishay Foil Resistors, Alpha Electronics, Powertron, Pacific Instruments, Micro-Measurements, Celtron, Revere, Sensortronics, Tedea-Huntleigh, BLH Nobel, KELK, GleebleVPG Onboard Weighing brands. Vishay Precision Group, Inc. sells its products through field application engineers. Vishay Precision Group, Inc. was incorporated in 2009 and is headquartered in Malvern, Pennsylvania."
VRA,"Vera Bradley, Inc., together with its subsidiaries, designs, manufactures, and sells women's handbags, luggage and travel items, fashion and home accessories, and gifts. It operates through three segments: Vera Bradley Direct, Vera Bradley Indirect, and Pura Vida. The company offers bag products, such as totes, crossbodies, satchels, clutches, backpacks, baby bags, and lunch bags; accessories, including wallets, wristlets, eyeglass cases, scarves, and various technology accessories; bracelets, rings, and necklaces under Pura Vida brand name; and travel products consisting of rolling luggage, cosmetics, and travel and packing accessories, as well as travel bags comprising duffel and weekend bags. It also provides home products that include throw blankets, beach towels, and comforters, as well as items, such as mugs and tumblers; apparel/footwear comprising sleepwear, footwear, cotton face masks, outerwear, socks, and scarves; and stationery and merchandising products, as well as freight, licensing, and gift card breakage services. The company sells its Vera Bradley branded products through its full-line and factory outlet stores in the United States; and verabradley.com, an online outlet site, as well as its annual outlet sale in Fort Wayne, Indiana. As of March 10, 2021, it operated 75 full-line and 69 factory outlet stores. The company sells its Pura Vida branded products through wholesale retailers, as well as through Pura Vida websites, including www.puravidabracelets.com, www.puravidabracelets.eu, and www.puravidabracelets.ca. It also sells its Vera Bradley branded products to approximately 2,000 specialty retail locations, department stores, national accounts, third party e-commerce sites, and third-party inventory liquidators, as well as through licensing agreements. Vera Bradley, Inc. was incorporated in 1982 and is headquartered in Roanoke, Indiana."
VRAY,"ViewRay, Inc. designs, manufactures, and markets radiation therapy systems. The company offers MRIdian, a magnetic resonance image guided radiation therapy system to image and treat cancer patients. Its MRIdian integrates MRI technology, radiation delivery, and proprietary software to see the soft tissues, shape the dose to accommodate for changes in anatomy, and strike the target using real-time targeting throughout the treatment. The company serves university research and teaching hospitals, community hospitals, private practices, government institutions, and freestanding cancer centers. ViewRay, Inc. markets its MRIdian through a direct sales force and distribution network. It has operations in the United States, France, Germany, Taiwan, the United Kingdom, and internationally. The company was founded in 2004 and is headquartered in Oakwood, Ohio."
VRCA,"Verrica Pharmaceuticals Inc., a dermatology therapeutics company, develops and commercializes treatments for people with skin diseases in the United States. The company's lead product candidate includes VP-102 for the treatment of molluscum contagiosum; which has completed phase II clinical trial for treating common warts; and that is in phase II clinical trial for the treatment of external genital warts. It is also developing cantharidin-based product candidate, VP-103 for treating plantar warts. The company has a license and collaboration agreement with Torii Pharmaceutical Co., Ltd. for the development and commercialization of its product candidates for the treatment of molluscum contagiosum and common warts in Japan, including VP-102; and a license agreement with Lytix Biopharma AS to develop and commercialize LTX-315 for dermatological oncology indications. Verrica Pharmaceuticals Inc. was incorporated in 2013 and is headquartered in West Chester, Pennsylvania."
VRM,"Vroom, Inc. operates an e-commerce platform for buying and selling of new and used cars in the United States. It also offers financing solutions. The company was formerly known as Auto America, Inc. and changed its name to Vroom, Inc. in July 2015. The company was incorporated in 2012 and is headquartered in New York, New York."
VRNS,"Varonis Systems, Inc. provides software products and services that allow enterprises to manage, analyze, and secure enterprise data in North America, Europe, the Middle East, Africa, and internationally. Its software enables enterprises to protect data stored on premises and in the cloud, including sensitive files and emails; confidential personal data belonging to customers, and patients and employees' data; financial records; strategic and product plans; and other intellectual property. The company offers DatAdvantage that captures, aggregates, normalizes, and analyzes every data access event for users on Windows and UNIX/Linux servers, storage devices, email systems, and Intranet servers; and DatAlert that profiles users and their behaviors related to systems and data, detects and alerts on deviations that indicate compromise, and provides a Web-based dashboard and investigative interface. It also provides Data Classification Engine that identifies and tags data based on criteria set in various metadata dimensions, and provides business and information technology (IT) personnel with actionable intelligence about data; and DataPrivilege, which provides a self-service Web portal that allows users to request access to data necessary for their business functions, and owners to grant access without IT intervention. In addition, the company offers Data Transport Engine, which provides an execution engine that unifies the manipulation of data and metadata, translating business decisions, and instructions into technical commands, such as data migration or archiving; and DatAnswers that offers search functionality for enterprise data. It sells its products and services through a network of distributors and resellers. The company serves IT, security, and business personnel. Varonis Systems, Inc. was incorporated in 2004 and is headquartered in New York, New York."
VRNT,"Verint Systems Inc. provides customer engagement solutions worldwide. It offers various applications for use in Forecasting and Scheduling, which understands the work needed to meet and exceed customer expectations; Quality and Compliance that uses automation and analytics for customer interactions for attended and self-service channels; Interaction Insights, which extracts insights from structured and unstructured customer interactions and activities; Real-Time Work that supports in-the-moment workforce activities; Self-Service, which connects customers and employees with information, resources, and support; Case Management that helps employees to improve efficiency, time to resolution, compliance, and customer satisfaction; and Knowledge Management, which help agents to deliver stellar service with tools. The company also provides Digital Experience that monitors customer-initiated feedback via web and mobile channels; Enterprise Experience, which captures experience data across various channels and unify feedback; Interaction Experience that uses voice surveys and contact center interaction to understand and improve the effectiveness of people, products, and processes; and Predictive Experience, which listens and acts on customer and employee experiences. In addition, it offers engagement data management applications for data management, enrichment, and compliance solutions, as well as cloud platform services. The company was incorporated in 1994 and is headquartered in Melville, New York."
VRPX,"Virpax Pharmaceuticals, Inc., a preclinical stage biopharmaceutical company, develops and manufactures non-opioid and non-addictive pharmaceutical products using drug delivery systems for pain management. The company offers products, such as Epoladerm, a diclofenac metered-dose spray film for acute musculoskeletal pain; Probudur (LBL100), long-acting bupivacaine liposomal gel for postoperative pain management; OSF200 for chronic osteoarthritis of the knee; and NES100 (Envelta), an exogenous enkephalin intranasal spray for acute and chronic pain. It also develops PES200 for the management of post-traumatic stress disorder; and MMS019 high-density molecular masking spray to prevent or reduce the risk or the intensity of viral infections in humans, including influenza and SARS-CoV-2 (Covid-19). Virpax Pharmaceuticals, Inc. was founded in 2016 and is headquartered in Berwyn, Pennsylvania."
VRRM,"Verra Mobility Corporation provides smart mobility technology solutions and services in the United States, Canada, and Europe. It operates through two segments, Government Solutions and Commercial Services. The Government Solutions segment offers automated safety solutions, including services and technologies that enable photo enforcement through road safety camera programs, which detects and process traffic violations related to red light, speed, school bus, and city bus lanes. This segment serves municipalities, counties, school districts, and law enforcement agencies. The Commercial Services segment provides automated toll and violations management, and title and registration solutions to rental car companies, fleet management companies, and other large fleet owners. The company was incorporated in 2016 and is headquartered in Mesa, Arizona."
VRSK,"Verisk Analytics, Inc. provides data analytics solutions in the United States and internationally. It provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, natural resources intelligence, economic forecasting, commercial banking and finance, and various other fields. The company operates through three segments: Insurance, Energy and Specialized Markets, and Financial Services. The Insurance segment focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty customers. It also develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The Energy and Specialized Markets segment provides data analytics for the natural resources value chain, including energy, chemicals, metals, mining, power, and renewables sectors; research and consulting services focusing on exploration strategies and screening, asset development and acquisition, commodity markets, and corporate analysis; and consultancy services in the areas of business environment, business improvement, business strategies, commercial advisory, and transaction support, as well as analysis and advice on assets, companies, governments, and markets. The Financial Services segment offers benchmarking, decisioning algorithms, business intelligence, and customized analytic services to financial institutions, payment networks and processors, alternative lenders, regulators, and merchants. The company was founded in 1971 and is headquartered in Jersey City, New Jersey."
VRT,"Vertiv Holdings Co, together with its subsidiaries, designs, manufactures, and services critical digital infrastructure technologies and life cycle services for data centers, communication networks, and commercial and industrial environments in the Americas, the Asia Pacific, Europe, the Middle East, and Africa. It offers power management products, uninterruptible power systems, thermal management products, integrated rack systems, modular solutions, and management systems for monitoring and controlling digital infrastructure that are integral to the technologies used for various services, including e-commerce, online banking, file sharing, video on-demand, energy storage, wireless communications, Internet of Things, and online gaming. The company also provides lifecycle management services, predictive analytics, and professional services for deploying, maintaining, and optimizing these products and their related systems. It offers its products primarily under the Liebert, NetSure, Geist, and Avocent brands. The company serves social media, financial services, healthcare, transportation, retail, education, and government industries through a network of direct sales professionals, independent sales representatives, channel partners, and original equipment manufacturers. Vertiv Holdings Co is headquartered in Columbus, Ohio."
VRTX,"Vertex Pharmaceuticals Incorporated engages in developing and commercializing therapies for treating cystic fibrosis. The company markets SYMDEKO/SYMKEVI, ORKAMBI, and KALYDECO to treat patients with cystic fibrosis who have specific mutations in their cystic fibrosis transmembrane conductance regulator gene; and TRIKAFTA for the treatment of patients with CF 12 years of age or older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator, or CFTR, gene. Its pipeline includes Pipeline for Alpha-1 antitrypsin deficiency that is in Phase 2 clinical trial; VX-864, a second investigational small molecule corrector for the treatment of AAT deficiency, which is in Phase 1 clinical trial; and VX-147 that completed a Phase 1 clinical trial for the treatment of APOL1-mediated focal segmental glomerulosclerosis, or FSGS, and other serious kidney diseases. The company sells its products primarily to specialty pharmacy and specialty distributors in the United States, as well as specialty distributors and retail chains, and hospitals and clinics internationally. Vertex Pharmaceuticals Incorporated has collaborations with CRISPR Therapeutics AG; Arbor Biotechnologies, Inc.; Moderna, Inc.; Genomics plc; Merck KGaA; Darmstadt, Germany; X-Chem, Inc.; Janssen Pharmaceuticals, Inc.; Merck KGaA; Kymera Therapeutics; Ribometrix, Inc.; Molecular Templates, Inc.; and Affinia Therapeutics, as well as a strategic research collaboration and licensing agreement with Obsidian Therapeutics, Inc. for the discovery of novel therapies that regulate gene editing for the treatment of serious diseases. The company was founded in 1989 and is headquartered in Boston, Massachusetts."
